,delta_time,water_level,diff_water_level,rate_water_level,humd_1,diff_humed_1,rate_humed_1,,,humd_2,diff_humed_2,rate_humed_2,humd_3,diff_humed_3,rate_humed_3,humd_4,diff_humed_4,rate_humed_4,humd_5,diff_humed_5,rate_humed_5,humd_6,diff_humed_6,rate_humed_6,humd_7,diff_humed_7,rate_humed_7,humd_8,diff_humed_8,rate_humed_8,humd_9,diff_humed_9,rate_humed_9
0,,1.4,,,72.72772,,,,,71.77405,,,68.89777,,,70.5152,,,73.62799,,,70.98822,,,69.2182,,,65.59424,,,72.71246,,
1,60,1.4,0,0,72.55225,-0.17547,-0.0029245,,,71.71301,-0.06104,-0.001017333,68.92065,0.02288,0.000381333,70.43127,-0.08393,-0.001398833,73.50592,-0.12207,-0.0020345,70.93481,-0.05341,-0.000890167,69.10376,-0.11444,-0.001907333,65.47217,-0.12207,-0.0020345,72.62854,-0.08392,-0.001398667
2,59,1.4,0,0,72.46832,-0.08393,-0.001422542,,,71.63672,-0.07629,-0.001293051,68.89777,-0.02288,-0.000387797,70.3092,-0.12207,-0.002068983,73.422,-0.08392,-0.001422373,70.88141,-0.0534,-0.000905085,69.05035,-0.05341,-0.000905254,65.38824,-0.08393,-0.001422542,72.55225,-0.07629,-0.001293051
3,61,1.4,0,0,72.3844,-0.08392,-0.001375738,,,71.5528,-0.08392,-0.001375738,68.89777,0,0,70.2558,-0.0534,-0.00087541,73.33807,-0.08393,-0.001375902,70.828,-0.05341,-0.000875574,68.99695,-0.0534,-0.00087541,65.29669,-0.09155,-0.00150082,72.49121,-0.06104,-0.001000656
4,59,1.4,0,0,72.30048,-0.08392,-0.001422373,,,71.49176,-0.06104,-0.001034576,68.86725,-0.03052,-0.000517288,70.22528,-0.03052,-0.000517288,73.28467,-0.0534,-0.000905085,70.76697,-0.06103,-0.001034407,68.94354,-0.05341,-0.000905254,65.24329,-0.0534,-0.000905085,72.46832,-0.02289,-0.000387966
5,60,1.4,0,0,72.21655,-0.08393,-0.001398833,,,71.41547,-0.07629,-0.0012715,68.81384,-0.05341,-0.000890167,70.20239,-0.02289,-0.0003815,73.20074,-0.08393,-0.001398833,70.71356,-0.05341,-0.000890167,68.88251,-0.06103,-0.001017167,65.18225,-0.06104,-0.001017333,72.43781,-0.03051,-0.0005085
6,61,1.4,0,0,72.14026,-0.07629,-0.001250656,,,71.35443,-0.06104,-0.001000656,68.86725,0.05341,0.000875574,70.17187,-0.03052,-0.000500328,73.14734,-0.0534,-0.00087541,70.66016,-0.0534,-0.00087541,68.85962,-0.02289,-0.000375246,65.12122,-0.06103,-0.001000492,72.3844,-0.05341,-0.000875574
7,59,1.4,0,0,72.07922,-0.06104,-0.001034576,,,71.30103,-0.0534,-0.000905085,68.8291,-0.03815,-0.00064661,70.11847,-0.0534,-0.000905085,73.09393,-0.05341,-0.000905254,70.66016,0,0,68.85962,0,0,65.06018,-0.06104,-0.001034576,72.35388,-0.03052,-0.000517288
8,60,1.4,0,0,72.07922,0,0,,,71.24762,-0.05341,-0.000890167,68.85962,0.03052,0.000508667,70.06506,-0.05341,-0.000890167,73.0329,-0.06103,-0.001017167,70.59912,-0.06104,-0.001017333,68.85962,0,0,65.02966,-0.03052,-0.000508667,72.30048,-0.0534,-0.00089
9,60,1.4,0,0,72.02582,-0.0534,-0.00089,,,71.19421,-0.05341,-0.000890167,68.85962,0,0,70.06506,0,0,73.01001,-0.02289,-0.0003815,70.59912,0,0,68.85962,0,0,64.99915,-0.03051,-0.0005085,72.26996,-0.03052,-0.000508667
