diff_time,water_level,humd_1,humd_2,humd_3,humd_4,humd_5,humd_6,humd_7,humd_8,humd_9
385,15,100.62842,101.05566,99.92651,95.94397,101.65839,101.30743,99.18646,90.53473,101.13196
300,14.67427,100.65894,101.09381,99.95703,96.03552,101.56683,101.2464,99.12543,90.33636,101.05566
301,15.13072,100.65894,101.12433,99.98755,96.09656,101.56683,101.20825,99.06439,90.22192,101.02515
299,15.01634,100.68945,101.20825,100.07147,96.19574,101.47528,101.07855,99.12543,90.22192,101.05566
300,15.11438,100.71997,101.23877,100.10962,96.25677,101.40662,100.91833,99.18646,90.30585,101.27692
300,15,100.81152,101.23877,100.10962,96.31781,101.28455,100.7276,99.15594,90.35925,101.30743
300,14.95114,100.84204,101.27692,100.17065,96.40936,101.22351,100.52924,99.06439,90.24481,101.17773
303,15.06536,100.84204,101.30743,100.20117,96.53143,101.19299,100.30798,99.17883,90.24481,101.27692
297,14.91857,100.87256,101.30743,100.20117,96.59247,101.15485,100.14777,99.1178,90.24481,101.20825
300,14.98371,100.90308,101.33795,100.23169,96.62299,101.06329,99.896,99.17883,90.2677,101.36084
300,15.01634,100.96411,101.33795,100.32324,96.6535,101.00226,99.77393,99.27802,90.44318,101.52106
301,15,100.96411,101.42188,100.32324,96.71454,100.87256,99.55267,99.33905,90.55762,101.61261
299,14.95114,101.00226,101.42188,100.35376,96.75269,100.68945,99.35431,99.36957,90.61102,101.67365
300,14.96743,101.09381,101.42188,100.38428,96.81372,100.62079,99.25513,99.4306,90.69495,101.70416
300,14.91857,101.12433,101.45239,100.38428,96.84424,100.58264,99.00336,99.49927,90.75598,101.74231
300,14.98371,101.15485,101.45239,100.38428,96.87476,100.43005,98.81262,99.5603,90.87042,101.83386
300,14.95114,101.18536,101.45239,100.42242,96.90527,100.39191,98.56085,99.62897,91.00775,101.95593
300,14.95114,101.18536,101.45239,100.42242,96.93579,100.2088,98.42352,99.65948,91.0993,101.99408
300,15,101.18536,101.45239,100.47583,96.96631,100.10962,98.29382,99.69,91.15271,101.95593
300,14.96743,101.21588,101.54395,100.50635,97.00446,99.88837,98.26331,99.65948,91.12219,101.92542
299,14.98371,101.2464,101.51343,100.50635,97.00446,99.79681,98.17175,99.72052,91.18323,102.0246
302,14.83713,101.28455,101.54395,100.53687,97.06549,99.6366,97.94287,99.78156,91.32819,102.14667
299,14.98371,101.31506,101.54395,100.53687,97.06549,99.51453,97.59955,99.8197,91.41211,102.1543
300,14.95114,101.36847,101.54395,100.53687,97.09601,99.45349,97.43933,99.88074,91.47314,102.25348
299,14.98371,101.39899,101.54395,100.53687,97.15704,99.29327,97.34778,99.94177,91.6181,102.34503
303,14.95114,101.4295,101.54395,100.56738,97.18756,99.07202,97.30963,99.97229,91.70203,102.37555
298,14.90228,101.46002,101.54395,100.56738,97.21808,98.88129,97.33252,100.00281,91.75543,102.37555
299,14.93485,101.46002,101.59735,100.56738,97.25623,98.78973,97.27148,100.10199,91.83936,102.44421
300,15,101.49817,101.59735,100.62842,97.34015,98.68292,97.23334,100.13251,91.93091,102.47473
301,14.93485,101.49817,101.59735,100.65894,97.37067,98.62189,97.1723,100.13251,91.9538,102.40607
300,14.91857,101.52869,101.59735,100.65894,97.40118,98.62189,97.08075,100.10962,91.98431,102.44421
299,14.95114,101.5592,101.59735,100.65894,97.40118,98.56085,96.92053,100.17065,92.04535,102.53577
300,14.96743,101.5592,101.59735,100.65894,97.4317,98.53033,96.92053,100.23169,92.12927,102.5968
300,14.80456,101.58972,101.59735,100.65894,97.46222,98.40063,96.92053,100.26221,92.2132,102.62732
301,14.82085,101.58972,101.59735,100.65894,97.49274,98.17938,96.7298,100.29272,92.22083,102.60443
300,14.83713,101.68127,101.59735,100.68945,97.52325,98.14886,96.31781,100.33087,92.27423,102.63495
299,14.98371,101.71179,101.59735,100.68945,97.5614,97.83606,96.34833,100.33087,92.24371,102.63495
301,14.86971,101.71179,101.59735,100.68945,97.62244,97.70636,96.31781,100.36139,92.30475,102.66547
299,14.96743,101.74231,101.65839,100.75049,97.62244,97.58429,95.84479,100.39191,92.33527,102.69598
300,14.88599,101.74231,101.65839,100.75049,97.62244,97.58429,95.84479,100.33087,92.35815,102.69598
300,14.90228,101.77283,101.65839,100.78101,97.68347,97.0426,95.76086,100.33087,92.38867,102.7265
300,14.91857,101.77283,101.65839,100.78101,97.68347,97.0426,95.69983,100.33087,92.41919,102.76465
301,14.83713,101.77283,101.65839,100.78101,97.74451,96.98157,95.69983,100.33087,92.41919,102.79517
300,14.96743,101.77283,101.65839,100.78101,97.74451,96.7298,95.66931,100.3385,92.50311,102.82568
300,14.90228,101.77283,101.65839,100.78101,97.77502,96.7298,95.66931,100.3385,92.53363,102.82568
300,14.82085,101.80334,101.65839,100.78101,97.86658,96.66113,95.58539,100.3385,92.56415,102.79517
299,14.88599,101.80334,101.65839,100.78101,97.86658,96.37885,95.58539,100.3385,92.56415,102.79517
300,14.85342,101.83386,101.65839,100.84204,97.89709,96.21863,95.58539,100.36902,92.58704,102.82568
300,14.82085,101.88727,101.65839,100.84204,97.92761,96.18811,95.55487,100.39954,92.61755,102.8562
300,14.85342,101.88727,101.65839,100.84204,97.95813,96.05841,95.55487,100.39954,92.59467,102.88672
301,14.80456,101.92542,101.65839,100.84204,97.92761,95.87531,95.55487,100.46057,92.62518,102.83331
299,14.77199,101.92542,101.71179,100.84204,97.95813,95.87531,95.50146,100.49109,92.64807,102.83331
300,14.82085,101.95593,101.71179,100.84204,98.01917,95.80664,95.50146,100.49109,92.64807,102.83331
300,14.98371,101.95593,101.71179,100.87256,98.01917,95.80664,95.50146,100.52161,92.64807,102.83331
300,14.85342,101.95593,101.71179,100.87256,98.01917,95.74561,95.50146,100.52161,92.64807,102.83331
300,14.78827,101.95593,101.71179,100.87256,98.01917,95.71509,95.50146,100.59027,92.67859,102.89435
300,14.86971,101.95593,101.71179,100.87256,98.05731,95.46332,95.50146,100.62079,92.76251,102.9859
300,14.90228,101.95593,101.71179,100.87256,98.05731,94.84534,95.47095,100.71997,92.82355,103.04694
300,14.86971,101.98645,101.71179,100.90308,98.05731,94.70038,95.47095,100.81152,92.80066,103.1156
300,14.82085,101.98645,101.71179,100.90308,98.01917,94.44098,95.47095,100.90308,92.83118,103.1156
300,14.78827,101.98645,101.71179,100.90308,98.01917,94.38757,95.50146,100.93359,92.83118,103.1156
300,14.69055,101.98645,101.71179,100.90308,98.01917,93.92981,95.41754,100.91071,92.60229,103.05457
300,14.78827,102.01697,101.71179,100.93359,97.89709,93.92981,95.44806,100.94122,92.51837,103.05457
301,14.88599,102.01697,101.71179,100.93359,97.89709,93.92981,95.41754,100.97174,92.43445,103.05457
299,14.82085,102.078,101.71179,100.93359,97.89709,93.49493,95.01318,101.04041,92.32764,103.05457
299,14.88599,102.078,101.71179,100.93359,97.89709,93.47205,95.01318,101.10144,92.24371,102.94012
302,14.90228,102.10852,101.71179,100.97174,97.89709,93.47205,93.92218,101.10144,92.2132,102.87909
298,14.93485,102.10852,101.71179,100.97174,97.86658,93.38812,93.9527,101.07855,92.2132,102.81042
300,14.91857,102.10852,101.7652,100.94122,97.83606,93.38049,93.92981,101.10907,92.2132,102.71887
300,14.86971,102.10852,101.7652,100.94122,97.85132,93.38049,93.92981,101.13959,92.18268,102.62732
301,14.86971,102.10852,101.7652,100.94122,97.80554,93.38049,93.92981,101.1701,92.07587,102.4671
300,14.85342,102.10852,101.7652,100.94122,97.85132,93.38049,93.96033,101.1701,91.99194,102.19244
300,14.90228,102.10852,101.7652,100.97937,97.79028,93.38049,93.92981,101.1701,91.8775,102.00171
299,14.83713,102.10852,101.80334,100.97937,97.56903,93.41101,93.92981,101.1167,91.74017,101.74994
300,14.88599,102.10852,101.80334,101.00989,97.53851,93.38049,93.8764,101.1167,91.59521,101.40662
301,14.85342,102.10852,101.80334,101.00989,97.508,93.38049,93.90692,101.04803,91.51129,101.1167
299,14.80456,102.10852,101.80334,101.00989,97.44696,93.38049,93.93744,101.01752,91.42737,100.75049
300,14.78827,102.10852,101.80334,101.04041,97.41644,93.38049,93.93744,100.95648,91.37396,100.43768
300,14.83713,102.10852,101.80334,100.97937,97.31726,93.18213,93.91455,100.86493,91.37396,99.99518
301,14.78827,102.10852,101.80334,101.00989,97.31726,93.12109,93.91455,100.76575,91.34344,99.71289
299,14.85342,102.10852,101.80334,101.00989,97.25623,93.12109,93.94507,100.68182,91.34344,99.46112
301,14.91857,102.10852,101.83386,101.00989,97.12653,93.09058,93.97559,100.59027,91.34344,99.20935
301,14.82085,102.10852,101.83386,101.04041,97.09601,93.09058,93.97559,100.52161,91.34344,98.71344
299,14.80456,102.16956,101.83386,101.04041,97.03497,93.12109,93.99847,100.46057,91.37396,98.11835
299,14.80456,102.10852,101.83386,101.07092,97.00446,93.09058,93.9527,100.36902,91.37396,97.89709
301,14.82085,102.16956,101.83386,101.01752,96.97394,93.12109,93.97559,100.23932,91.37396,97.74451
299,14.73941,102.16956,101.83386,101.01752,96.87476,93.12109,94.0061,100.11725,91.40448,97.40118
301,14.88599,102.16956,101.83386,101.08618,96.81372,93.12109,94.0061,99.95703,91.35107,97.05023
299,14.7557,102.16956,101.86438,101.08618,96.68402,93.09058,94.03662,99.86548,91.35107,97.05023
300,14.7557,102.16956,101.86438,101.1167,96.40173,93.06769,93.98322,99.77393,91.35107,96.92816
300,14.77199,102.16956,101.86438,101.1167,96.3407,93.06769,94.01373,99.55267,91.38159,96.7832
300,14.82085,102.16956,101.86438,101.14722,96.31018,93.06769,94.01373,99.3772,91.38159,96.74506
300,14.73941,102.13141,101.86438,101.14722,96.27966,93.06769,94.04425,99.27039,91.38159,96.43225
569,14.7557,102.13141,101.86438,101.1167,96.27966,93.06769,94.02136,98.99573,91.41211,96.27966
300,14.83713,102.13141,101.86438,101.1167,96.27966,92.80829,94.04425,98.90417,91.41211,96.21863
300,14.86971,102.13141,101.8949,101.14722,96.27966,92.80829,94.04425,98.68292,91.41211,96.18048
300,14.80456,102.13141,101.8949,101.14722,96.27966,92.69385,94.07477,98.53033,91.435,96.18048
301,14.83713,102.13141,101.8949,101.14722,96.24915,92.69385,94.07477,98.37012,91.435,96.14996
299,14.70684,102.13141,101.8949,101.17773,95.71509,92.69385,94.05188,98.24805,91.435,95.80664
300,14.85342,102.13141,101.8949,101.17773,95.67694,92.69385,94.05188,98.08783,91.435,95.77612
300,14.86971,102.13141,101.8949,101.17773,95.67694,92.38104,94.0824,97.96576,91.435,95.72272
301,14.7557,102.13141,101.8949,101.20825,95.64642,92.38104,94.0824,97.50037,91.46552,95.72272
300,14.78827,102.10089,101.92542,101.20825,95.64642,92.38104,94.11292,97.30963,91.46552,95.63116
299,14.80456,102.10089,101.92542,101.15485,95.61591,92.38104,94.1358,97.14941,91.46552,95.63116
300,14.85342,102.10089,101.92542,101.19299,95.18103,92.38104,94.0824,97.05786,91.46552,95.63116
300,14.77199,102.10089,101.92542,101.19299,94.98267,92.40393,94.0824,96.99683,91.46552,95.63116
300,14.82085,102.10089,101.92542,101.19299,94.95215,92.35815,94.11292,96.71454,91.44263,95.63116
300,14.78827,102.10089,101.95593,101.22351,94.60883,92.40393,94.14343,96.5238,91.44263,95.5625
300,14.83713,102.10089,101.95593,101.22351,94.46387,92.35815,94.14343,96.18048,91.44263,95.72272
300,14.82085,102.10089,101.95593,101.25403,94.37994,92.35815,94.19684,96.11945,91.44263,95.78375
300,14.82085,102.10089,101.95593,101.25403,93.4339,92.38867,94.15106,96.11945,91.44263,95.73035
300,14.88599,102.10089,101.95593,101.25403,93.4339,92.38867,94.18158,96.02789,91.44263,95.73035
300,14.88599,102.10089,101.95593,101.22351,93.12109,92.38867,94.18158,95.95923,91.47314,95.69983
300,14.73941,102.10089,101.98645,101.22351,93.12109,92.38867,94.20447,95.84479,91.47314,95.69983
300,14.69055,102.10089,101.98645,101.25403,93.12109,92.38867,94.23499,95.68457,91.47314,95.69983
300,14.77199,102.07037,101.98645,101.25403,93.09821,92.06824,94.23499,95.5625,91.47314,95.69983
300,14.7557,102.07037,101.98645,101.25403,92.95325,92.06824,94.2655,95.50146,91.47314,95.69983
299,14.86971,102.07037,101.98645,101.28455,92.95325,92.09875,94.24261,94.90637,91.47314,95.69983
300,14.69055,102.07037,101.98645,101.28455,92.95325,92.09875,94.2655,94.71564,91.50366,95.69983
301,14.85342,102.07037,102.0246,101.28455,92.95325,92.09875,94.29602,94.47913,91.50366,95.69983
300,14.83713,102.07037,102.0246,101.34558,92.95325,92.09875,94.32654,94.3952,91.46552,95.66931
300,14.86971,102.07037,102.0246,101.34558,92.95325,92.09875,94.34943,94.36469,91.49603,95.66931
300,14.82085,102.07037,102.0246,101.34558,92.95325,92.09875,94.37994,94.36469,91.47314,95.66931
299,14.80456,102.07037,102.0246,101.32269,92.95325,92.09875,94.44098,94.36469,91.47314,95.66931
301,14.82085,102.07037,102.05511,101.32269,92.95325,92.09875,94.44098,94.36469,91.50366,95.66931
299,14.78827,102.07037,102.05511,101.32269,92.95325,92.09875,94.50201,94.31128,91.50366,95.63879
