diff_time,water_level,humd_1,humd_2,humd_3,humd_4,humd_5,humd_6,humd_7,humd_8,humd_9
507,29.77108,99.20935,103.07745,102.48236,91.76306,92.74725,91.6944,96.36359,91.9538,91.51129
301,29.6988,99.26276,103.04694,102.48236,91.76306,92.74725,91.6944,96.36359,91.93091,91.53418
300,29.87952,99.26276,102.97827,102.45184,91.76306,92.74725,91.6944,96.42462,91.93091,91.59521
299,29.80723,99.23987,103.03931,102.45184,91.76306,92.74725,91.6944,96.37122,91.93091,91.57233
300,29.77108,99.23987,103.03931,102.45184,91.76306,92.74725,91.6944,96.40936,91.9538,91.60284
300,30.06154,99.23987,103.00879,102.45184,91.76306,92.74725,91.6944,96.40936,91.9538,91.63336
300,29.93976,99.29327,103.00879,102.45184,91.76306,92.74725,91.6944,96.43988,91.93854,91.61047
301,29.72289,99.29327,103.00879,102.45184,91.76306,92.71674,91.6944,96.43988,91.93854,91.61047
299,30.18462,99.29327,102.97064,102.45184,91.76306,92.71674,91.6944,96.37885,91.93854,91.61047
300,29.92771,99.29327,102.97064,102.45184,91.76306,92.77014,91.6944,96.40936,91.93854,91.64099
301,29.71084,99.26276,102.97064,102.45184,91.76306,92.77014,91.6944,96.40936,91.96906,91.67151
299,29.56627,99.26276,102.94012,102.45184,91.80884,92.77014,91.6944,96.40936,91.96906,91.6181
300,30.06154,99.26276,102.94012,102.45184,91.80884,92.73962,91.6944,96.43988,91.91565,91.6181
301,29.85542,99.26276,102.99353,102.45184,91.78595,92.73962,91.6944,96.43988,91.94617,91.64862
301,29.6988,99.26276,102.96301,102.45184,91.78595,92.73962,91.6944,96.43988,91.94617,91.64862
298,30.02462,99.26276,102.96301,102.42133,91.78595,92.73962,91.6944,96.47803,91.94617,91.64862
300,30.01231,99.23224,102.96301,102.42133,91.78595,92.73962,91.6944,96.42462,91.94617,91.64862
300,29.81928,99.23224,102.96301,102.42133,91.78595,92.73962,91.6944,96.42462,91.94617,91.64862
300,29.61446,99.28564,102.96301,102.42133,91.78595,92.70911,91.6944,96.42462,91.94617,91.64862
300,30.12308,99.25513,102.96301,102.42133,91.78595,92.70911,91.6944,96.42462,91.94617,91.67151
300,30.03692,99.25513,102.9325,102.48236,91.78595,92.76251,91.6944,96.45514,91.96906,91.62573
300,29.93976,99.25513,102.9325,102.48236,91.78595,92.76251,91.6944,96.45514,91.96906,91.62573
301,29.86747,99.21698,102.99353,102.44421,91.75543,92.76251,91.6944,96.45514,91.96906,91.62573
299,29.74699,99.21698,102.99353,102.44421,91.80884,92.76251,91.6944,96.45514,91.96906,91.62573
299,29.6988,99.21698,102.99353,102.44421,91.80884,92.76251,91.6944,96.45514,91.96906,91.62573
301,29.89157,99.21698,102.99353,102.44421,91.80884,92.76251,91.6944,96.45514,91.92328,91.62573
300,29.84337,99.18646,102.99353,102.44421,91.80884,92.76251,91.6944,96.45514,91.92328,91.62573
301,29.80723,99.18646,102.99353,102.44421,91.76306,92.76251,91.6944,96.48566,91.96906,91.62573
299,29.80723,99.18646,102.99353,102.44421,91.80884,92.73199,91.6944,96.45514,91.92328,91.62573
299,29.78313,99.18646,102.99353,102.47473,91.80884,92.73199,91.6944,96.48566,91.92328,91.62573
303,29.54217,99.18646,102.99353,102.47473,91.80884,92.76251,91.6944,96.48566,91.9538,91.62573
298,29.95181,99.18646,102.99353,102.47473,91.80884,92.73199,91.6944,96.48566,91.9538,91.62573
300,30.03692,99.15594,102.99353,102.47473,91.77832,92.73199,91.6944,96.48566,91.9538,91.62573
301,29.80723,99.15594,102.99353,102.47473,91.80884,92.73199,91.6944,96.48566,91.9538,91.62573
298,29.85542,99.15594,102.99353,102.47473,91.77832,92.73199,91.6944,96.48566,91.9538,91.62573
