diff_time,water_level,humd_1,humd_2,humd_3,humd_4,humd_5,humd_6,humd_7,humd_8,humd_9
302,2.23571,101.39899,104.01587,102.8028,91.67914,92.63281,91.66388,90.49658,91.93854,91.55707
297,2.25179,101.39899,104.01587,102.8028,91.67914,92.63281,91.66388,90.5271,91.96906,91.55707
300,2.15536,101.39899,104.01587,102.8028,91.67914,92.66333,91.66388,90.47369,91.96906,91.54181
301,2.26786,101.31506,104.04639,102.8028,91.67914,92.66333,91.66388,90.50421,91.96906,91.5647
299,2.21964,101.31506,104.04639,102.8028,91.73254,92.66333,91.66388,90.50421,91.96906,91.5647
301,2.28393,101.31506,104.04639,102.8028,91.73254,92.66333,91.66388,90.50421,91.96906,91.5647
298,2.20357,101.28455,104.04639,102.8028,91.73254,92.66333,91.66388,90.50421,91.96906,91.5647
305,2.38036,101.28455,104.04639,102.8028,91.73254,92.66333,91.66388,90.50421,91.96906,91.5647
297,2.34821,101.2464,104.04639,102.8028,91.73254,92.68622,91.66388,90.50421,91.96906,91.59521
299,2.28393,101.2464,104.0769,102.8028,91.76306,92.68622,91.66388,90.50421,91.96906,91.59521
300,2.26786,101.21588,104.0769,102.8028,91.76306,92.68622,91.66388,90.50421,91.96906,91.59521
300,2.23571,101.21588,104.0769,102.8028,91.76306,92.68622,91.66388,90.50421,91.96906,91.5647
300,2.26786,101.21588,104.0769,102.8028,91.74017,92.64044,91.66388,90.50421,91.96906,91.59521
301,2.3,101.18536,104.0769,102.8028,91.74017,92.67096,91.68677,90.50421,91.96906,91.5647
299,2.1875,101.18536,104.0769,102.8028,91.74017,92.67096,91.68677,90.55762,91.96906,91.5647
15,2.1875,101.18536,104.0769,102.8028,91.74017,92.67096,91.68677,90.55762,91.96906,91.5647
286,2.21964,101.18536,104.0769,102.8028,91.74017,92.67096,91.68677,90.55762,91.96906,91.5647
299,2.25179,101.18536,104.0769,102.8028,91.74017,92.67096,91.68677,90.5271,91.93854,91.61047
299,2.26786,101.18536,104.0769,102.8028,91.77069,92.67096,91.68677,90.5271,91.93854,91.61047
302,2.20357,101.15485,104.10742,102.8028,91.77069,92.67096,91.68677,90.5271,91.93854,91.61047
299,2.23571,101.15485,104.10742,102.8028,91.77069,92.67096,91.68677,90.5271,91.93854,91.61047
300,2.23571,101.15485,104.10742,102.8028,91.80121,92.67096,91.68677,90.5271,91.90802,91.61047
300,2.21964,101.15485,104.10742,102.8028,91.80121,92.67096,91.68677,90.5271,91.96143,91.58759
300,2.1875,101.12433,104.10742,102.77228,91.80121,92.67096,91.68677,90.5271,91.96143,91.58759
302,2.21964,101.06329,104.10742,102.77228,91.80121,92.67096,91.68677,90.54999,91.96143,91.58759
297,2.23571,101.00226,104.10742,102.77228,91.80121,92.67096,91.68677,90.54999,91.96143,91.58759
301,2.25179,101.00226,104.10742,102.74176,91.80121,92.67096,91.68677,90.54999,91.96143,91.58759
302,2.23571,101.00226,104.10742,102.8028,91.80121,92.67096,91.68677,90.54999,91.96143,91.64099
307,2.25179,101.00226,104.13794,102.77228,91.80121,92.67096,91.68677,90.54999,91.96143,91.64099
290,2.26786,100.96411,104.13794,102.77228,91.80121,92.67096,91.68677,90.54999,91.93091,91.61047
301,2.1875,100.96411,104.13794,102.77228,91.80121,92.67096,91.68677,90.54999,91.93091,91.61047
299,2.28393,100.96411,104.13794,102.74176,91.83173,92.67096,91.68677,90.54999,91.93091,91.61047
302,2.23571,100.93359,104.13794,102.74176,91.83173,92.67096,91.68677,90.54999,91.93091,91.61047
299,2.21964,100.90308,104.08453,102.74176,91.83173,92.67096,91.68677,90.54999,91.93091,91.61047
300,2.17143,100.90308,104.08453,102.70361,91.83173,92.67096,91.66388,90.61102,91.97668,91.64862
302,2.17143,100.87256,104.08453,102.70361,91.83173,92.67096,91.68677,90.61865,92.0072,91.6181
298,2.20357,100.87256,104.08453,102.6731,91.83173,92.67096,91.66388,90.61865,92.0072,91.63336
300,1.97857,100.87256,104.08453,102.6731,91.83173,92.67096,91.68677,90.57288,92.05298,91.55707
301,2.13929,100.87256,104.11505,102.6731,91.77832,92.67096,91.68677,60.54358,92.01483,91.32819
298,2.23571,100.87256,104.11505,102.61206,91.77832,92.67096,91.74017,57.39264,78.70154,58.15558
302,2.25179,100.84204,104.11505,102.61206,91.77832,92.67096,91.74017,56.68311,74.3299,57.38501
301,2.1875,100.84204,104.11505,102.61206,91.77832,92.69385,91.74017,55.91254,69.37842,56.85858
298,2.20357,100.81152,104.11505,102.58154,91.77832,92.69385,91.70966,54.49347,57.63678,55.409
301,2.15536,100.78101,104.11505,102.55103,91.77832,92.69385,91.70966,88.74182,93.617,81.65411
302,2.17143,100.78101,104.11505,102.57391,91.77832,92.69385,91.74017,92.56415,100.45294,86.96417
296,2.1875,100.78101,104.11505,102.57391,91.77832,92.69385,91.74017,94.18158,102.284,88.48242
299,2.23571,100.71234,104.11505,102.5434,91.77832,92.64807,91.74017,95.20392,103.00116,89.1767
300,2.12321,100.71234,104.11505,102.5434,91.77832,92.67859,91.70966,95.80664,103.375,89.57343
301,2.15536,100.65894,104.11505,102.5434,91.77832,92.67859,91.74017,96.27203,103.62677,89.80231
300,2.17143,100.65894,104.11505,102.51288,91.77832,92.67859,91.74017,96.53143,103.75647,89.94727
300,2.13929,100.62842,104.14557,102.51288,91.77832,92.70148,91.74017,96.81372,103.84802,90.11511
300,2.15536,100.62842,104.14557,102.48236,91.77832,92.70148,91.74017,97.02734,104.00824,90.22955
300,2.1875,100.5979,79.79254,102.48236,91.77832,92.70148,91.74017,97.14941,104.03876,90.29059
301,2.23571,100.5979,104.14557,102.44421,91.77832,92.70148,91.74017,97.37067,104.06927,90.35162
299,2.20357,100.5979,104.14557,102.4137,91.77832,92.70148,91.74017,97.40118,104.13794,90.43555
300,2.20357,100.53687,104.14557,102.4137,91.77832,92.70148,91.74017,97.50037,104.16846,90.48895
299,2.13929,100.53687,104.14557,102.35266,91.77832,92.70148,91.74017,97.53088,104.19897,90.54999
301,2.10714,100.50635,104.14557,102.32214,91.73254,92.73199,91.74017,97.5614,104.19897,90.54999
300,2.12321,100.50635,104.14557,102.38318,91.73254,92.73199,91.74017,97.62244,104.26001,90.61102
302,2.1875,100.50635,104.14557,102.32214,91.73254,92.73199,91.74017,97.75214,104.29053,90.66443
300,2.21964,100.43768,104.14557,102.25348,91.75543,92.73199,91.74017,97.91235,104.32104,90.72546
298,2.15536,100.43768,104.14557,102.25348,91.75543,92.73199,91.74017,98.00391,104.38208,90.74835
299,2.075,100.40717,104.14557,102.22296,91.75543,92.73199,91.74017,98.03442,104.38208,90.77887
301,2.1875,100.37665,104.14557,102.16193,91.75543,92.67859,91.74017,98.06494,104.4126,90.75598
301,2.20357,100.34613,104.14557,102.10089,91.78595,92.67859,91.74017,98.15649,104.38971,90.7865
300,2.15536,100.31561,104.14557,102.06274,91.78595,92.70911,91.74017,97.49274,104.0769,90.81702
298,2.17143,80.10535,104.14557,102.00171,91.78595,92.70911,91.77069,95.88293,103.99298,90.82465
301,2.17143,100.2851,104.14557,101.91016,91.78595,92.71674,91.7478,95.3031,103.80225,90.74835
